,Unnamed: 0,game_date,game_pk,hits,at_bats,home_runs,player_name,home_team,is_home,starting_pitcher_id,starting_pitcher_throws,batter_days_since_prev_game
187,187.0,2017-10-13 00:00:00,526497,1,4,0,"Judge, Aaron",HOU,0,572971,L,2.0
188,188.0,2017-10-14 00:00:00,526498,0,4,0,"Judge, Aaron",HOU,0,434378,R,1.0
189,189.0,2017-10-16 00:00:00,526499,1,4,1,"Judge, Aaron",NYY,1,450203,R,2.0
190,190.0,2017-10-17 00:00:00,526500,2,4,1,"Judge, Aaron",NYY,1,621121,R,1.0
191,191.0,2017-10-18 00:00:00,526501,1,4,0,"Judge, Aaron",NYY,1,572971,L,1.0
192,192.0,2017-10-20 00:00:00,526502,1,4,1,"Judge, Aaron",HOU,0,434378,R,2.0
193,193.0,2017-10-21 00:00:00,526503,0,4,0,"Judge, Aaron",HOU,0,450203,R,1.0
194,194.0,2018-04-01 00:00:00,529452,1,5,0,"Judge, Aaron",TOR,0,573186,R,1.0
195,195.0,2018-04-03 00:00:00,529468,2,5,0,"Judge, Aaron",NYY,1,502042,R,2.0
196,196.0,2018-04-04 00:00:00,529494,1,4,1,"Judge, Aaron",NYY,1,605483,L,1.0
197,197.0,2018-04-05 00:00:00,529498,1,4,1,"Judge, Aaron",NYY,1,488768,R,1.0
198,198.0,2018-04-06 00:00:00,529509,1,6,0,"Judge, Aaron",NYY,1,592332,R,1.0
199,199.0,2018-04-07 00:00:00,529519,1,5,0,"Judge, Aaron",NYY,1,501957,R,1.0
200,200.0,2018-04-08 00:00:00,529534,2,6,0,"Judge, Aaron",NYY,1,605541,R,1.0
201,201.0,2018-04-10 00:00:00,529568,3,4,1,"Judge, Aaron",BOS,0,519242,L,2.0
202,202.0,2018-04-11 00:00:00,529582,2,5,0,"Judge, Aaron",BOS,0,456034,L,1.0
203,203.0,2018-04-12 00:00:00,529593,1,4,0,"Judge, Aaron",BOS,0,519144,R,1.0
204,204.0,2018-04-13 00:00:00,529604,1,5,0,"Judge, Aaron",DET,0,571666,R,1.0
205,205.0,2018-04-16 00:00:00,529649,2,5,1,"Judge, Aaron",NYY,1,592761,L,3.0
